Team,Player Name,Full Name,Born,Current Age,Batting Style,Bowling Style,Profile,Batting_Test_matches,Batting_Test_Innings,Batting_Test_Runs,Batting_Test_Avg,Batting_ODI_Matches,Batting_ODI_Innings,Batting_ODI_Runs,Batting_ODI_Highest,Batting_ODI_Avg,Batting_TESTs_Highest,Batting_T20I_Matches,Batting_T20I_Innings,Batting_T20I_runs,Batting_T20I_Highest,Batting_T20I_Avg,Batting_T20_Matches,Batting_T20_Innings,Batting_T20_Runs,Batting_T20_Highest,Batting_T20_average,Test_Debut,ODI_Debut,T20 Debut,Image URL-src,T20I_Debut
England,CR Woakes,Christopher Roger Woakes,"March 2, 1989, Birmingham, Warwickshire",25 years 272 days,Bowler,Right-hand bat,"Chris Woakes has emerged as one of the best all-rounders in the county game but, despite being named in many England squads, has yet to go on and cement a place in the international side in any format. While most of his England chances have come in limited-overs matches, the suspicion remains that his bowling, in particular, is more suited to red ball cricket.",4,5,75,37.5,19,16,217,36,18.08,NA,6,5,39,NA,19.5,77,46,519,NA,25.95,"England v Australia at The Oval, Aug 21-25, 2013 scorecard","Australia v England at Sydney, Jan 23, 2011 scorecard","Glamorgan v Warwickshire at Cardiff, Jun 11, 2008 scorecard",http://www.espncricinfo.com/inline/content/image/800859.html?alt=3,"Australia v England at Adelaide, Jan 12, 2011 scorecard"
England,MA Carberry,Michael Alexander Carberry,"September 29, 1980, Croydon, Surrey",34 years 61 days,Carbs,Left-hand bat,Michael Carberry appeared to have established himself as 'next cab off the rank' behind England's well established opening pair of Andrew Strauss and Alastair Cook when he made his Test debut (in place of the resting Strauss) against Bangladesh in early 2010. But In November of that year he was ruled out of the England Performance Programme trip to Australia after suffering a blood clot in his lung and it looked for a time as though his career might be over. He recovered and fought his way back into the England Test side for the tour of Australia in 2013 but a 5-0 defeat put Carberry's future in doubt.,6,12,345,28.75,6,6,114,63,19,60,1,1,7,7,7,100,94,2533,NA,30.89,"Bangladesh v England at Chittagong, Mar 12-16, 2010 scorecard","Ireland v England at Dublin, Sep 3, 2013 scorecard","Kent v Hampshire at Beckenham, Jun 16, 2003 scorecard",http://www.espncricinfo.com/inline/content/image/687529.html?alt=1,NA
England,CJ Jordan,Christopher James Jordan,"October 4, 1988, Barbados",26 years 56 days,CJ,Right-hand bat,"Chris Jordan's remarkable turnaround after being released by Surrey at the end of 2012 was capped when he was named in England's Test squad to play Sri Lanka less than two years later. Having made an immediate impression at Sussex, Jordan was picked for England in late 2013 and seemed at home at international level during a run in the limited-overs sides over the winter, leading to his elevation to five-day cricket.",5,6,125,20.83,14,11,110,38*,18.33,35,7,6,80,NA,20,29,24,292,37,18.25,"England v Sri Lanka at Lord's, Jun 12-16, 2014 scorecard","England v Australia at Southampton, Sep 16, 2013 scorecard","Surrey v Essex at The Oval, Jun 11, 2008 scorecard",http://www.espncricinfo.com/inline/content/image/751927.html?alt=1,"Australia v England at Sydney, Feb 2, 2014 scorecard"
England,SD Parry,Stephen David Parry,"January 12, 1986, Manchester",28 years 321 days,Pazza,Right-hand bat,"Stephen Parry, a left-arm spinner, played for Cumberland in Minor Counties cricket on his way to Lancashire honours and claimed a five-wicket haul on his first-class debut in 2007 against Durham University but it was with the white ball where he forged his career.",2,-,-,-,3,1,1,1,1,-,9,10,138,37,15.33,NA,NA,NA,NA,NA,NA,"West Indies v England at North Sound, Mar 2, 2014 scorecard","Lancashire v Yorkshire at Manchester, May 26, 2009 scorecard",http://www.espncricinfo.com/inline/content/image/728811.html?alt=1,"West Indies v England at Bridgetown, Mar 11, 2014 scorecard"
England,IR Bell,Ian Ronald Bell,"April 11, 1982, Walsgrave, Coventry, Warwickshire",32 years 232 days,Belly,Top-order batsman,"Once described by Dayle Hadlee as the best 16-year old he had ever seen, Ian Bell had been earmarked for greatness long before he was drafted onto the England tour of New Zealand in 2001-02, as cover for the injured Mark Butcher.",105,181,7156,45,150,146,4907,126*,36.61,235,8,8,188,NA,26.85,47,46,981,85,24.52,"England v West Indies at The Oval, Aug 19-21, 2004 scorecard","Zimbabwe v England at Harare, Nov 28, 2004 scorecard","Somerset v Warwickshire at Taunton, Jun 13, 2003 scorecard",http://www.espncricinfo.com/inline/content/image/565721.html?alt=1,"England v Pakistan at Bristol, Aug 28, 2006 scorecard"
England,WB Rankin,William Boyd Rankin,"July 5, 1984, Londonderry",30 years 147 days,Boydo,Bowler,"Boyd Rankin first came to prominence as part of the Ireland team that progressed to the Super Eight section of the 2007 World Cup. Blessed with great height - Rankin is six feet, seven inches tall - he gained bounce from even the most sluggish of surfaces and claimed 12 wickets in the tournament to help his side to notable victories over Pakistan and Bangladesh. Five years later, he made himself unavailable for Ireland in a bid to play Test cricket with England. The move provoked disquiet in his home country but it appeared to have been justified when he was named in England's Ashes squad to tour Australia in 2013-14, after a series of impressive limited-overs displays for his adoptive country.",1,2,13,6.5,44,18,40,7*,6.66,13,17,3,13,NA,13,38,9,21,NA,5.25,NA,"Bermuda v Ireland at Nairobi (Jaff), Jan 31, 2007 scorecard","Bangladesh v Ireland at Nottingham, Jun 8, 2009 scorecard",http://www.espncricinfo.com/inline/content/image/800887.html?alt=3,"Bangladesh v Ireland at Nottingham, Jun 8, 2009 scorecard"
England,LJ Wright,Luke James Wright,"March 7, 1985, Grantham, Lincolnshire",29 years 267 days,Allrounder,Right-hand bat,"Luke Wright is the Duracell bunny of English cricket. His energy and enthusiasm seems boundless, whether he is smiting sixes with intent in one-day cricket, fielding with athleticism or producing a spell of bustling medium pace which never appears to be quite as fast as he wants it to be. He has always had ambitions to play Test cricket, but he has never quite managed to make the leap.  It is the limited-overs game that suits his talents and, if he is a reluctant Twenty20 specialist, it is the form of the game where his talents are most apparent.",50,39,707,20.2,51,45,759,99*,18.97,52,98,147,5069,189,39.6,NA,NA,NA,NA,NA,NA,"England v India at The Oval, Sep 5, 2007 scorecard","Sussex v Surrey at Hove, Jul 2, 2004 scorecard",http://www.espncricinfo.com/inline/content/image/800939.html?alt=3,"England v Zimbabwe at Cape Town, Sep 13, 2007 scorecard"
England,AD Hales,Alexander Daniel Hales,"January 3, 1989, Hillingdon, Middlesex",25 years 330 days,Right-hand bat,Right-arm medium,"There was no doubting the yearning when Alex Hales made his ODI debut for England against India at Cardiff. If English cricket was still not debating the enforced removal of Kevin Pietersen from international cricket, it was arguing over the conservative approach towards one-day batting at the top of the order. Hales, a tall batsman with a destructive range of drives and cuts, was seen as a player who could potentially change the conversation into something more positive.",4,4,92,23,33,33,1062,116*,37.92,42,73,126,4399,184,36.65,NA,NA,NA,NA,NA,NA,"England v India at Cardiff, Aug 27, 2014 scorecard","Nottinghamshire v Durham at Nottingham, May 25, 2009 scorecard",http://www.espncricinfo.com/inline/content/image/800855.html?alt=3,"England v India at Manchester, Aug 31, 2011 scorecard"
England,GS Ballance,Gary Simon Ballance,"November 22, 1989, Zimbabwe",25 years 7 days,Gazza,Left-hand bat,"The belief that when one seemingly indispensable player retreats into the background another often rises to the challenge was exemplified by Gary Ballance as he took the chance offered by Jonathan Trott's stress-related illness. In no time, Ballance's nuggety left-handed batting style was providing the backbone of England's line-up. There was nothing overly stylish about his approach, but his discipline and shrewdness was apparent and he could step up the tempo when necessary. Ballance, in the coach's parlance was a batman who Found A Way.",8,13,729,60.75,12,11,261,79,26.1,156,82,126,6162,210,55.51,NA,NA,NA,NA,NA,"Australia v England at Sydney, Jan 3-5, 2014 scorecard","Ireland v England at Dublin, Sep 3, 2013 scorecard","Yorkshire v Warwickshire at Leeds, Jul 4, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/800861.html?alt=3,NA
England,HF Gurney,Harry Frederick Gurney,"October 25, 1986, Nottingham",28 years 35 days,Gurns,Right-hand bat,"Harry Gurney, a left-arm seamer with an ungainly action and intelligent variations, won opportunities for England in one-day cricket in 2014 in the first home series under the new set-up of Peter Moores as national coach and James Whitaker as national selector. After making an ODI debut against Scotland in Aberdeen, he acquitted himself ably in five ODIs against Sri Lanka - his best return coming with four wickets at Lord's - but only made one further appearance against India in the one-day series at the end of the season. Selection followed for an ODI series in Sri Lanka - his first overseas tour.",9,5,9,4.5,2,-,-,-,-,NA,54,65,191,NA,5.45,NA,NA,NA,NA,NA,NA,"Scotland v England at Aberdeen, May 9, 2014 scorecard","Leicestershire v Derbyshire at Leicester, May 28, 2009 scorecard",http://www.espncricinfo.com/inline/content/image/559437.html?alt=1,"England v Sri Lanka at The Oval, May 20, 2014 scorecard"
England,SCJ Broad,Stuart Christopher John Broad,"June 24, 1986, Nottingham",28 years 158 days,Broady,Bowler,"Whatever innocent impression might initially be given by his blond hair and baby-faced good looks, there have been few feistier cricketers in England's Test history than Stuart Broad. Broad's combative fast bowling and volatile temperament has been one of his great strengths as well as periodically bringing criticism about his behaviour, but the respect in which he is held was amplified when England appointed him as their Twenty20 captain, recognising his desire to succeed and ability to think on his feet.",74,104,2193,24.09,108,58,470,45*,12.7,169,56,26,118,NA,7.37,74,28,127,NA,7.47,"Sri Lanka v England at Colombo (SSC), Dec 9-13, 2007 scorecard","England v Pakistan at Cardiff, Aug 30, 2006 scorecard","Leicestershire v Nottinghamshire at Leicester, Jun 27, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/800877.html?alt=3,"England v Pakistan at Bristol, Aug 28, 2006 scorecard"
England,JC Buttler,Joseph Charles Buttler,"September 8, 1990, Taunton, Somerset",24 years 82 days,Right-hand bat,Wicketkeeper,"Jos Buttler is a crisp-hitting batsman with immense promise. He made his international debut in late 2011 and became a fixture of England's T20 side, despite few initial opportunities to impress. His breakthrough innings came against South Africa at Edgbaston, with a blistering 32 off 10 balls, and he was given the wicketkeeping gloves in India in the 2012-13 tour, after Craig Kieswetter - his club team-mate and Somerset's first-choice keeper - finally lost the position.",3,3,200,66.66,39,33,885,121,30.51,85,37,31,516,67,21.5,122,104,2043,NA,25.53,"England v India at Southampton, Jul 27-31, 2014 scorecard","England v Pakistan at Dubai (DSC), Feb 21, 2012 scorecard","New South Wales v Somerset at Hyderabad (Deccan), Oct 18, 2009 scorecard",http://www.espncricinfo.com/inline/content/image/800839.html?alt=3,"England v India at Manchester, Aug 31, 2011 scorecard"
England,DR Briggs,Danny Richard Briggs,"April 30, 1991, Newport, Isle of Wight",23 years 213 days,Right-hand bat,Slow left-arm orthodox,"Born in the Isle of Wight, Danny Briggs made his mark as a slow-left arm bowler on the England Under-19 tour of Bangladesh in 2009, where he finished as his side's leading wicket-taker with eight wickets. He has found success in Twenty20 cricket and it is in the shortest format that he has been capped a handful of times for England but he has struggled to many an impression: his only over against India in Pune went for 18 and two four-over spells against Australia have cost over 50.",1,-,-,-,7,1,0,0*,-,-,58,68,731,54,14.05,NA,NA,NA,NA,NA,NA,NA,"Hampshire v Kent at Southampton, Jun 3, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/630281.html?alt=1,"England v South Africa at Birmingham, Sep 12, 2012 scorecard"
England,LE Plunkett,Liam Edward Plunkett,"April 6, 1985, Middlesbrough, Yorkshire",29 years 237 days,Pudsy,Right-hand bat,"Liam Plunkett feared his county career was over before a move south, from Durham to Yorkshire, revived him. Rather than slipping out of the game, he rediscovered his pace and ambition in one of English cricket's story-book recoveries. England, pummelled by the Australian Mitchell Johnson, and eager to find an out-and-out quick bowler of their own, liked what they saw during a Lions recall, and he played the four Tests of the 2014 summer as a shock trooper - two each against Sri Lanka and India - before succumbing to injury.",13,20,238,15.86,29,25,315,56,21,NA,1,-,-,-,-,75,45,482,41,17.21,"Pakistan v England at Lahore, Nov 29-Dec 3, 2005 scorecard","Pakistan v England at Lahore, Dec 10, 2005 scorecard","Derbyshire v Durham at Derby, Jun 23, 2003 scorecard",http://www.espncricinfo.com/inline/content/image/751935.html?alt=1,NA
England,ST Finn,Steven Thomas Finn,"April 4, 1989, Watford, Hertfordshire",25 years 239 days,Finny,Bowler,"Standing at 6' 7'' Steven Finn is the latest bean-pole fast bowler to carry England's hopes. Pinging the ball down from the clouds he has the heady blend of pace and trampolining bounce to rattle the best players. Although issues with his delivery stride - a habit of kneeing the stumps led to a Law change making it a no-ball - and control meant he has been in and out of the side, Finn remains an important player in all three formats.",23,29,169,11.26,43,16,104,35,10.4,56,19,3,14,NA,-,50,11,45,NA,22.5,"Bangladesh v England at Chittagong, Mar 12-16, 2010 scorecard","Australia v England at Brisbane, Jan 30, 2011 scorecard","Kent v Middlesex at Beckenham, Jun 20, 2008 scorecard",http://www.espncricinfo.com/inline/content/image/800873.html?alt=3,"England v West Indies at The Oval, Sep 23, 2011 scorecard"
